2025-05-07 10:12:03 | INFO     | trading_bot.cli | Starting trading bot CLI
2025-05-07 10:12:03 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1746608323000, 'recvWindow': 5000, 'signature': '<redacted>'}
2025-05-07 10:12:03 | INFO     | trading_bot.orders | Placing order: symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stopPrice=None
2025-05-07 10:12:04 | DEBUG    | trading_bot.client | ← 200 {"orderId":3281947,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"x-Cb7ytekJb09e3bfa25e44b5f12c5a","price":"0","avgPrice":"63482.10","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"63.48210","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1746608324312}
2025-05-07 10:12:04 | INFO     | trading_bot.client | Order placed successfully: orderId=3281947 status=FILLED
2025-05-07 10:12:04 | INFO     | trading_bot.cli | Order completed successfully.

2025-05-07 10:18:45 | INFO     | trading_bot.cli | Starting trading bot CLI
2025-05-07 10:18:45 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 70000.0, 'timeInForce': 'GTC', 'timestamp': 1746608725000, 'recvWindow': 5000, 'signature': '<redacted>'}
2025-05-07 10:18:45 | INFO     | trading_bot.orders | Placing order: symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=70000.0 stopPrice=None
2025-05-07 10:18:46 | DEBUG    | trading_bot.client | ← 200 {"orderId":3281998,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-Cb7ytekJd12e4bga36b5g23c6b","price":"70000","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1746608726011}
2025-05-07 10:18:46 | INFO     | trading_bot.client | Order placed successfully: orderId=3281998 status=NEW
2025-05-07 10:18:46 | INFO     | trading_bot.cli | Order completed successfully.

2025-05-07 10:25:10 | WARNING  | trading_bot.orders | Validation failed: Price is required for LIMIT orders.
2025-05-07 10:25:10 | ERROR    | trading_bot.cli | Order failed: Price is required for LIMIT orders.
2026-05-07 20:35:31 | INFO     | trading_bot.cli | Starting trading bot CLI
2026-05-07 20:35:31 | INFO     | trading_bot.client | Placing order: symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stopPrice=None
2026-05-07 20:35:32 | ERROR    | trading_bot.orders | Order placement failed: Binance API error -1021: Timestamp for this request is outside of the recvWindow.
2026-05-07 20:35:32 | ERROR    | trading_bot.cli | Order failed: Binance API error -1021: Timestamp for this request is outside of the recvWindow.
2026-05-07 20:41:48 | INFO     | trading_bot.cli | Starting trading bot CLI
2026-05-07 20:41:48 | INFO     | trading_bot.client | Placing order: symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stopPrice=None
2026-05-07 20:41:49 | ERROR    | trading_bot.orders | Order placement failed: Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-05-07 20:41:49 | ERROR    | trading_bot.cli | Order failed: Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-05-07 20:44:07 | INFO     | trading_bot.cli | Starting trading bot CLI
2026-05-07 20:44:07 | INFO     | trading_bot.client | Placing order: symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stopPrice=None
2026-05-07 20:44:09 | ERROR    | trading_bot.orders | Order placement failed: Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-05-07 20:44:09 | ERROR    | trading_bot.cli | Order failed: Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-05-07 20:54:57 | INFO     | trading_bot.cli | Starting trading bot CLI
2026-05-07 20:54:57 | INFO     | trading_bot.client | Placing order: symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stopPrice=None
2026-05-07 20:54:57 | DEBUG    | trading_bot.client | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1778167497703, 'recvWindow': 5000, 'signature': '<redacted>'}
2026-05-07 20:54:59 | DEBUG    | trading_bot.client | RESPONSE 401 {"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-05-07 20:54:59 | ERROR    | trading_bot.orders | Order placement failed: Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-05-07 20:54:59 | ERROR    | trading_bot.cli | Order failed: Binance API error -2015: Invalid API-key, IP, or permissions for action
